asterism,member,resolved_object,ra_h,dec_deg,mag,coordinate_source,coordinate_source_id,magnitude_source,magnitude_source_id,override
Northern Cross,Epsilon Cygni,Aljanah,20.7701780000,33.9702560000,2.48,Pinned HYG v4.1,HIP 102488,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 102488,
Teapot of Sagittarius,Delta Sagittarii,Kaus Media,18.3499000000,-29.8281030000,2.72,Pinned HYG v4.1,HIP 89931,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 89931,
Teapot of Sagittarius,Epsilon Sagittarii,Kaus Australis,18.4028680000,-34.3846160000,1.79,Pinned HYG v4.1,HIP 90185,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 90185,
Teapot of Sagittarius,Zeta Sagittarii,Ascella,19.0435320000,-29.8801050000,2.6,Pinned HYG v4.1,HIP 93506,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 93506,
Teapot of Sagittarius,Phi Sagittarii,Phi Sagittarii,18.7609400000,-26.9907780000,3.17,Pinned HYG v4.1,HIP 92041,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 92041,
Teapot of Sagittarius,Lambda Sagittarii,Kaus Borealis,18.4661790000,-25.4217000000,2.82,Pinned HYG v4.1,HIP 90496,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 90496,
Teapot of Sagittarius,Gamma Sagittarii,Alnasl,18.0968030000,-30.4240910000,2.98,Pinned HYG v4.1; positional cross-match 0.035 arcsec from CDS Sesame/SIMBAD * gam02 Sgr,HIP 88635,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 88635,
Teapot of Sagittarius,Sigma Sagittarii,Nunki,18.9210900000,-26.2967220000,2.05,Pinned HYG v4.1,HIP 92855,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 92855,
Teapot of Sagittarius,Tau Sagittarii,Tau Sagittarii,19.1156700000,-27.6704230000,3.32,Pinned HYG v4.1,HIP 93864,Pinned HYG v4.1 (astronexus/HYG-Database@3bf37f4b2d5460e1278286320d1d62fab9b493c1:hyg/CURRENT/hygdata_v41.csv),HIP 93864,
Scorpius's Fishhook,Alpha Scorpii,Antares,16.4901280000,-26.4320020000,1.06,Star Almanack expanded-bayer-stars.csv,HIP 80763,Star Almanack expanded-bayer-stars.csv,HIP 80763,
