hip,ra_h,dec_deg
69732,14.2731045473,46.0879189400
70090,14.3426331393,-37.8852671100
70497,14.4200053760,51.8517135400
70638,14.4488168753,-83.6678530800
71053,14.5305160653,30.3711449700
71075,14.5346549473,38.3078834800
71352,14.5917921087,-42.1577456200
71683,14.6613606893,-60.8351470700
71795,14.6858112127,13.7283311300
71860,14.6988260673,-47.3881412700
71908,14.7085236220,-64.9745695700
71957,14.7176561893,-5.6574291000
72105,14.7497919127,27.0741738300
72220,14.7708310627,1.8929383000
72370,14.7977017113,-79.0447124200
72571,14.8381851933,-27.9602192500
72607,14.8451098340,74.1554759600
72622,14.8479936907,-16.0416104700
73273,14.9755427953,-43.1338669900
73334,14.9860275027,-42.1041419900
73555,15.0324425360,40.3906367100
73714,15.0678505287,-25.2818560200
74395,15.2047786547,-52.0990746500
74666,15.2583621607,33.3151022200
74785,15.2834643940,-9.3828669400
74824,15.2919333933,-58.8008788200
74946,15.3151913380,-68.6794672300
75097,15.3454858933,71.8339730800
75141,15.3562045553,-40.6474594600
75177,15.3634545707,-36.2611672900
75264,15.3780243100,-44.6895731400
75323,15.3896271553,-59.3206983900
75458,15.4154955800,58.9660235400
75695,15.4638477540,29.1054916400
76127,15.5488322060,31.3591551700
76267,15.5781081953,26.7149104100
76276,15.5800528400,10.5388591600
76297,15.5856834373,-41.1666949700
76333,15.5920942653,-14.7895536500
76440,15.6119963620,-66.3169046900
76470,15.6170718320,-28.1350709900
76600,15.6442734353,-29.7776893500
76829,15.6865321507,-44.6605592600
76852,15.6925256420,19.6705056600
76952,15.7123995127,26.2955141900
77055,15.7342955413,77.7944990100
77070,15.7377766093,6.4255197100
77233,15.7697819180,15.4219260200
77450,15.8123357240,18.1417793000
77512,15.8265827880,26.0685493600
77516,15.8270182500,-3.4301411200
77622,15.8469142293,4.4775798000
77634,15.8493171533,-33.6271048800
77760,15.8778317893,42.4499879600
77952,15.9191133420,-63.4297497300
78072,15.9408317320,15.6647332700
78104,15.9480796253,-29.2140122100
78159,15.9598060807,26.8780263200
78265,15.9808668553,-26.1140428000
78384,16.0020390287,-38.3966407900
78401,16.0055588167,-22.6216202400
78493,16.0240529540,29.8510782100
78527,16.0315843733,58.5644373900
78639,16.0535722793,-49.2297207400
78820,16.0906208040,-19.8053928600
78914,16.1081732267,-45.1732751700
79101,16.1461664767,44.9348188300
79195,16.1640367627,-3.4667307600
79374,16.1999279193,-19.4606468400
79593,16.2391017340,-3.6939756200
79822,16.2918058453,75.7547038500
79882,16.3053446627,-4.6926080900
79992,16.3290133053,46.3132708400
80000,16.3307132213,-50.1553792300
80047,16.3391208553,-78.6956560900
80112,16.3531451453,-25.5927525900
80170,16.3653454687,19.1530218500
80331,16.3998630153,61.5140753600
80343,16.4017214693,-20.0372113700
80463,16.4235915493,14.0334151400
80473,16.4264225407,-23.4471176400
80569,16.4503995293,-18.4561969800
80582,16.4530688373,-47.5547359000
80628,16.4633963753,-8.3717005500
80763,16.4901298693,-26.4319460800
80816,16.5036837980,21.4896485000
80883,16.5152336727,1.9841005600
80894,16.5189985907,-16.6126401500
81008,16.5434439613,11.4882339100
81065,16.5576289393,-78.8969591700
81126,16.5683859087,42.4368956500
81266,16.5980442820,-28.2159615600
